Reference, Value, Footprint, Datasheet, Product Page, Spec
"U3","ESP32-WROOM-32","RF_Module:AZ-Delivery_ESP32Wroom32_withUSB_module","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf"
"JP3","Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R19","120","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"C1","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","https://www.reichelt.de/smd-vielschicht-1812-4-7-f-x7r-10-50-v-125-c-ve-800-ecc-kts500b475k-p256481.html?&trstct=pol_1&nbc=1","4.7 Î¼F / 50 V 1206 MLCC"
"C3","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C5","10u","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~"
"JP1","Kill-Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP2","Kill-Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J5","TJA1051 BO Board (MCP2552I)","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"C4","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C6","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"D1","BAT41","Diode_THT:D_A-405_P12.70mm_Horizontal","~","https://de.farnell.com/on-semiconductor/bas21ht1g/signaldiode-250v-sod-323/dp/1459032?st=kleinsignaldiode",""
"Q1","BSP89","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.infineon.com/dgdl/Infineon-BSP89-DS-v02_02-en.pdf?fileId=db3a30433b47825b013b4b8a07f90d55"
"Q2","BSP89","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.infineon.com/dgdl/Infineon-BSP89-DS-v02_02-en.pdf?fileId=db3a30433b47825b013b4b8a07f90d55"
"D2","BAT41","Diode_THT:D_A-405_P12.70mm_Horizontal","~","https://de.farnell.com/on-semiconductor/bas21ht1g/signaldiode-250v-sod-323/dp/1459032?st=kleinsignaldiode",""
"R13","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R12","47","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R18","100k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R17","47","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R16","47k","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"MP9","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP11","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP12","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP13","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP14","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP10","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP5","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP4","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP6","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP3","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP1","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"K2","FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"K1","FINDER-36.11","Relay_THT:Relay_SPDT_Finder_36.11","https://gfinder.findernet.com/public/attachments/36/EN/S36EN.pdf"
"U1","LM1117-3.3","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"R14","4k7","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R15","4k7","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"J4","Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~"
"R9","4k7","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"R10","4k7","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"R11","4k7","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~"
"J6","Conn_02x03_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","~"
"J1","Screw_Terminal_01x03","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","~"
"U2","LTV-824","Package_DIP:DIP-8_W7.62mm","http://optoelectronics.liteon.com/upload/download/DS-70-96-0013/S_110_LTV-814%20824%20844%20(M,%20S,%20S-TA,%20S-TA1,%20S-TP)%20Series.pdf"
"R1","330","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"F3","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
"R2","330","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R7","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R5","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"C7","680n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"MP2","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"MP7","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"F4","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
"R3","330","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R4","330","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R8","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"R6","100","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"C8","680n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"MP8","Messpunkt","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"F1","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
"F2","Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","~"
"J3","Conn_02x03_Taster","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"J2","Conn_01x05_LCD","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
